2025-10-30 09:19:28 INFO  添加模块：极性检测.1-双排电芯.图像拼接1
2025-10-30 09:19:30 INFO  增加连线：极性检测.1-双排电芯.显示三元1,极性检测.1-双排电芯.图像拼接1
2025-10-30 09:19:36 INFO  增加连线：极性检测.1-双排电芯.显示锂电1,极性检测.1-双排电芯.图像拼接1
2025-10-30 09:19:45 INFO  增加连线：极性检测.1-双排电芯.显示三元2,极性检测.1-双排电芯.图像拼接1
2025-10-30 09:19:47 INFO  增加连线：极性检测.1-双排电芯.显示锂电2,极性检测.1-双排电芯.图像拼接1
2025-10-30 09:41:22 INFO  删除模块：极性检测.1-双排电芯.图像拼接1
2025-10-30 10:12:10 INFO  添加流程：流程1
2025-10-30 11:34:31 INFO  添加模块：极性检测.条件检测1
2025-10-30 11:34:31 INFO  增加连线：极性检测.步数检测,极性检测.条件检测1
2025-10-30 11:34:31 INFO  增加连线：极性检测.条件检测1,极性检测.批次号
2025-10-30 11:43:55 INFO  模块重命名：条件检测1 修改为 输入状态
2025-10-30 11:51:19 INFO  添加流程：流程2
2025-10-30 14:10:28 INFO  添加流程：流程2
2025-10-30 14:10:46 INFO  删除流程：流程2
2025-10-31 09:11:13 INFO  添加模块：极性检测.1-双排电芯.颜色转换1
2025-10-31 09:11:17 INFO  粘贴
2025-10-31 09:11:22 INFO  粘贴
2025-10-31 09:11:26 INFO  粘贴
2025-10-31 09:11:33 INFO  增加连线：极性检测.1-双排电芯.颜色转换1,极性检测.1-双排电芯.电芯1
2025-10-31 09:11:36 INFO  增加连线：极性检测.1-双排电芯.颜色转换2,极性检测.1-双排电芯.Blob分析1
2025-10-31 09:11:37 INFO  增加连线：极性检测.1-双排电芯.颜色转换3,极性检测.1-双排电芯.电芯2
2025-10-31 09:11:39 INFO  增加连线：极性检测.1-双排电芯.颜色转换4,极性检测.1-双排电芯.Blob分析2
2025-10-31 09:16:48 INFO  添加模块：极性检测.1-双排电芯1.颜色转换1
2025-10-31 09:16:54 INFO  粘贴
2025-10-31 09:16:56 INFO  粘贴
2025-10-31 09:16:59 INFO  粘贴
2025-10-31 09:17:05 INFO  增加连线：极性检测.1-双排电芯1.颜色转换1,极性检测.1-双排电芯1.电芯3
2025-10-31 09:17:06 INFO  增加连线：极性检测.1-双排电芯1.颜色转换2,极性检测.1-双排电芯1.Blob分析1
2025-10-31 09:17:16 INFO  删除连线：颜色转换2, Blob分析1
2025-10-31 09:17:19 INFO  增加连线：极性检测.1-双排电芯1.颜色转换2,极性检测.1-双排电芯1.Blob分析1
2025-10-31 09:17:23 INFO  增加连线：极性检测.1-双排电芯1.颜色转换3,极性检测.1-双排电芯1.电芯码4
2025-10-31 09:17:26 INFO  增加连线：极性检测.1-双排电芯1.颜色转换4,极性检测.1-双排电芯1.Blob分析2
2025-10-31 10:46:57 INFO  添加模块：极性检测.1-双排电芯.图像组合1
2025-10-31 10:47:54 INFO  删除模块：极性检测.1-双排电芯.图像组合1
2025-10-31 13:16:24 INFO  模块启用：极性检测.光源开
2025-10-31 13:16:42 INFO  模块禁用：极性检测.光源开
2025-11-28 21:16:37 INFO  粘贴
2025-11-28 21:16:40 INFO  增加连线：极性检测自动校验.条件检测3,极性检测自动校验.脚本2
2025-12-03 21:17:41 INFO  添加模块：极性检测2.逻辑1
2025-12-03 21:17:43 INFO  删除模块：极性检测2.逻辑1
2025-12-03 21:17:46 INFO  添加模块：极性检测2.脚本4
2025-12-03 21:17:49 INFO  增加连线：极性检测2.图像源1,极性检测2.脚本4
2025-12-03 21:18:19 INFO  粘贴
2025-12-03 21:18:21 INFO  增加连线：极性检测1.图像源1,极性检测1.脚本4
